n	lemma	count	status	approvals
1	ὁ	19795		
2	καί	8973		
3	αὐτός	5059		
4	σύ	2894		
5	δέ	2766		
6	ἐν	2737		
7	ἐγώ	2572		
8	εἰμί	2456		
9	λέγω	2335		
10	εἰς	1759		
11	οὐ	1605		
12	ὅς	1408		
13	οὗτος	1387		
14	θεός	1307		
15	ὅτι	1294		
16	πᾶς	1245		
17	γάρ	1039		
18	μή	1037		
19	ἐκ	913		
20	Ἰησοῦς	911		
21	ἐπί	885		
22	ἑαυτοῦ	823		
23	κύριος	713		
24	ἔχω	707		
25	πρός	698		
26	γίνομαι	667		
27	διά	666		
28	ἵνα	663		
29	ἀπό	644		
30	ἀλλά	638		
31	ἔρχομαι	630		
32	ποιέω	568		
33	τίς	559		
34	ἄνθρωπος	550		
35	Χριστός	528		
36	τις	525		
37	ὡς	504		
38	εἰ	502		
39	οὖν	495		
40	ὁράω	476		
41	μετά	470		
42	κατά	469		
43	ἀκούω	427		
44	πολύς	415		
45	δίδωμι	415		
46	πατήρ	413		
47	ἡμέρα	389		
48	πνεῦμα	379		
49	υἱός	375		
50	ἤ	346		
51	εἷς	344		
52	ἀδελφός	342		
53	περί	332		
54	ἐάν	331		
55	λόγος	330		
56	λαλέω	297		
57	οἶδα	296		
58	οὐρανός	273		
59	μαθητής	262		
60	λαμβάνω	258		
61	γῆ	250		
62	ἐκεῖνος	243		
63	πίστις	242		
64	πιστεύω	241		
65	μέγας	240		
66	ἅγιος	233		
67	ἀποκρίνομαι	232		
68	οὐδείς	232		
69	ὄνομα	229		
70	ὑπό	221		
71	γινώσκω	221		
72	ἀνήρ	216		
73	ἐξέρχομαι	216		
74	τέ	213		
75	γυνή	212		
76	δύναμαι	209		
77	θέλω	208		
78	οὕτω(ς)	207		
79	ἰδού	200		
80	Ἰουδαῖος	194		
81	παρά	193		
82	εἰσέρχομαι	193		
83	νόμος	193		
84	γράφω	191		
85	κόσμος	185		
86	καθώς	182		
87	μέν	178		
88	εὑρίσκω	176		
89	χείρ	176		
90	ἄγγελος	175		
91	ὄχλος	174		
92	ἁμαρτία	172		
93	ἄν	171		
94	ἔργον	169		
95	δόξα	165		
96	πόλις	162		
97	βασιλεία	162		
98	ἔθνος	160		
99	τότε	159		
100	Παῦλος	158		
101	ἐσθίω	157		
102	Πέτρος	156		
103	καρδία	156		
104	χάρις	155		
105	ἵστημι	154		
106	ἄλλος	154		
107	πρῶτος	154		
108	πορεύομαι	150		
109	ὑπέρ	150		
110	καλέω	148		
111	σάρξ	147		
112	ἕως	145		
113	νῦν	145		
114	προφήτης	144		
115	ὅστις	144		
116	ἐγείρω	143		
117	ἀφίημι	143		
118	ἀγαπάω	143		
119	οὐδέ	142		
120	σῶμα	142		
121	λαός	141		
122	ζάω	140		
123	φωνή	139		
124	πάλιν	139		
125	δέω	138		
126	Ἰωάννης	135		
127	δύο	135		
128	ζωή	135		
129	βλέπω	133		
130	ἀποστέλλω	132		
131	σύν	129		
132	ἀμήν	128		
133	νεκρός	128		
134	δοῦλος	126		
135	ὅταν	123		
136	ἀρχιερεύς	122		
137	αἰών	122		
138	βάλλω	121		
139	θάνατος	120		
140	παραδίδωμι	119		
141	δύναμις	119		
142	μένω	118		
143	ζητέω	117		
144	ἀπέρχομαι	117		
145	ἀγάπη	116		
146	βασιλεύς	115		
147	κρίνω	115		
148	ἴδιος	114		
149	ἐκκλησία	114		
150	οἶκος	113		
151	ὅσος	111		
152	ἀποθνῄσκω	111		
153	μόνος	110		
154	μέλλω	109		
155	παρακαλέω	109		
156	ἀλήθεια	109		
157	ὅλος	108		
158	ἀνίστημι	108		
159	σῴζω	106		
160	ὥρα	106		
161	πῶς	103		
162	ψυχή	102		
163	ὅτε	102		
164	ἐξουσία	102		
165	ὁδός	101		
166	καλός	101		
167	αἴρω	101		
168	ἀγαθός	101		
169	τίθημι	100		
170	ὀφθαλμός	100		
171	ἀλλήλων	100		
172	τέκνον	99		
173	γεννάω	97		
174	Φαρισαῖος	97		
175	ἄρτος	97		
176	ἕτερος	97		
177	αἷμα	97		
178	διδάσκω	96		
179	φοβέομαι	95		
180	ἐκεῖ	95		
181	περιπατέω	95		
182	τόπος	94		
183	ἐνώπιον	94		
184	οἰκία	93		
185	πούς	93		
186	ἔτι	93		
187	δικαιοσύνη	91		
188	κάθημαι	91		
189	μηδείς	91		
190	εἰρήνη	91		
191	πίπτω	90		
192	ἀπόλλυμι	90		
193	θάλασσα	90		
194	ἄρχω	89		
